id,insee_code,town_name,zip_code,routing_label,line_5,geopoint
27266,08387,ST LOUP TERRIER,08130,ST LOUP TERRIER,NULL,0101000020E6100000724C16F71F7912409098EA130AC94840
27267,08388,ST MARCEAU,08160,ST MARCEAU,NULL,0101000020E61000004F3283424EE11240367DD17968DA4840
27268,08389,ST MARCEL,08460,ST MARCEL,NULL,0101000020E6100000E099756B3E4712409570D70146E24840
27269,08390,STE MARIE,08400,STE MARIE,NULL,0101000020E610000008BAAC78D9B112401C3F541AB1AF4840
27270,08391,ST MENGES,08200,ST MENGES,NULL,0101000020E6100000E494CA259FB413400EBB945FABE14840
27271,08392,ST MOREL,08400,ST MOREL,NULL,0101000020E6100000A3682FEC7ACF12404332891F88AB4840
27272,08393,ST PIERRE A ARNES,08310,ST PIERRE A ARNES,NULL,0101000020E6100000BF4C6FDAE7DC1140A7D2AAF12DA64840
27273,08394,ST PIERREMONT,08240,ST PIERREMONT,NULL,0101000020E6100000357C0BEBC6CB134039AB4F8333BF4840
27274,08395,ST PIERRE SUR VENCE,08430,ST PIERRE SUR VENCE,NULL,0101000020E6100000228326D3B2BB12401F6C0C95DAD94840
27275,08396,ST QUENTIN LE PETIT,08220,ST QUENTIN LE PETIT,NULL,0101000020E6100000654DD136A3531040CE7575221CCB4840
27276,08397,ST REMY LE PETIT,08300,ST REMY LE PETIT,NULL,0101000020E61000003617C9682EED1040B9DB9A1922B34840
27277,08398,STE VAUBOURG,08130,STE VAUBOURG,NULL,0101000020E610000050E9BBB6125D124044317903CCBA4840
27278,08399,SAPOGNE SUR MARCHE,08370,SAPOGNE SUR MARCHE,NULL,0101000020E6100000AE03D660D0401540A98CDA58E4CC4840
27279,08400,SAPOGNE ET FEUCHERES,08160,SAPOGNE ET FEUCHERES,NULL,0101000020E6100000C02C488ECF371340E9297288B8D44840
27280,08401,SAULCES CHAMPENOISES,08130,SAULCES CHAMPENOISES,NULL,0101000020E61000003BC0385DBB05124025E99AC937B94840
27281,08402,SAULCES MONCLIN,08270,SAULCES MONCLIN,NULL,0101000020E61000008A5AF51494091240B2A9A91B5EC94840
27282,08403,SAULT LES RETHEL,08300,SAULT LES RETHEL,NULL,0101000020E61000002DB5DE6FB46B11409AB4A9BAC7BE4840
27283,08404,SAULT ST REMY,08190,SAULT ST REMY,NULL,0101000020E6100000D8C0B1C288A010401924D81338B64840
27284,08405,SAUVILLE,08390,SAUVILLE,NULL,0101000020E61000007AFA08FCE1271340B4322B2595C64840
27285,08406,SAVIGNY SUR AISNE,08400,SAVIGNY SUR AISNE,NULL,0101000020E610000060EEEE5C73E21240BA96DA9C14AE4840
27286,08407,SECHAULT,08250,SECHAULT,NULL,0101000020E6100000292FE873A4F11240CBA3761AC4A24840
27287,08408,SECHEVAL,08150,SECHEVAL,NULL,0101000020E61000003261EA9DC0AE1240C29A6FE93DEE4840
27288,08409,SEDAN,08200,SEDAN,NULL,0101000020E61000000475CAA31BB5134010316F1F83D94840
27289,08410,SEMIDE,08400,SEMIDE,NULL,0101000020E6100000AC6EF59CF44E1240D8851F9CCFA94840
27290,08411,SEMUY,08130,SEMUY,NULL,0101000020E6100000653733FAD1A412409C3EF152A0BF4840
27291,08412,SENUC,08250,SENUC,NULL,0101000020E610000070140FDE0D601340B406EFAB72A74840
